my,year,value_x,value_y,crisis,exch_usd
02/2013,2013,95.38526315789473,3.7347499999999996,1,0.73
02/2013,2013,95.38526315789473,3.7347499999999996,0,130.75
02/2013,2013,95.38526315789473,3.7347499999999996,0,0.73
02/2013,2013,95.38526315789473,3.7347499999999996,0,29.815
02/2013,2013,95.38526315789473,3.7347499999999996,0,32.93402597
02/2013,2013,95.38526315789473,3.7347499999999996,0,1.653095696
02/2013,2013,95.38526315789473,3.7347499999999996,0,1.903768242
02/2013,2013,95.38526315789473,3.7347499999999996,1,0.639660578
02/2013,2013,95.38526315789473,3.7347499999999996,0,1.6556
02/2013,2013,95.38526315789473,3.7347499999999996,0,21.38902597
02/2013,2013,95.38526315789473,3.7347499999999996,0,6.2921
02/2013,2013,95.38526315789473,3.7347499999999996,0,5.52
02/2013,2013,95.38526315789473,3.7347499999999996,0,361.9
02/2014,2014,100.64452631578946,3.471,0,87.9706983
02/2014,2014,100.64452631578946,3.471,0,101.49
02/2014,2014,100.64452631578946,3.471,0,8.5402
02/2014,2014,100.64452631578946,3.471,0,1.22
